1,lamp shade,joke,false,0.5,0.57,0.59,0.51,0.69,0.98,9,16,false
2,spring,material,false,0.89,0.38,0.51,0.74,0.24,0.17,3,10,false
3,pants,luxery,true,0.17,0.74,0.64,0.41,0.53,0.06,3,7,false
4,potato,food,false,0.23,0.54,0.6,0.26,0.56,0.16,7,11,false
5,soda,food,true,0.5,0.3,0.57,0.27,0.37,0.51,10,18,false
6,boogie,entertainment,false,0.21,0.79,0.01,0.85,0.82,0.09,10,14,false
7,sax,instrument,false,0.61,0.8,0.11,0.81,0.99,0.99,10,17,false
8,waldo,people,false,0.54,0.11,0.01,0.77,0.59,0.66,5,11,false
9,picnic,food,true,0.3,0.51,0.88,0.19,0.71,0.21,9,14,false
10,statue,luxery,true,0.96,0.28,0.39,0.43,0.03,0.63,3,10,false
11,trope,joke,false,0.69,0.37,0.07,0.4,0.87,0.1,4,9,false
12,tofu,joke,false,0.79,0.4,0.2,0.91,0.15,0.81,5,12,false
13,lint,odd,false,0.91,0.67,0.63,0.83,0.42,0.73,4,10,false
14,copycat,nuisance,false,0.47,0.9,0.17,0.06,0.62,0.32,9,13,false
15,codec,tool,false,0.69,0.57,0.97,0.31,0.54,0.47,7,10,false
16,fish,food,false,0.72,0.6,0.74,0.19,0.93,0.36,3,7,false
17,robot,nuisance,true,0.33,0.52,0.79,0.81,0.18,0.84,4,9,false
18,armor,equipment,true,0.1,0.11,0.17,0.16,0.39,0.89,6,14,false
19,shoes,clothes,false,0.58,0.75,0.23,0.51,0.45,0.47,9,14,false
20,fire,necessity,true,0.93,0.97,0.14,0.23,0.33,0.41,8,11,false
21,synthesizer,instrument,false,0.86,0.31,0.79,0.27,0.99,0.97,3,8,false
22,boat,luxery,true,0.73,0.11,0.53,0.0,0.31,0.27,9,14,false
23,raptor,nuisance,false,0.52,0.88,0.29,0.08,0.84,0.79,4,12,false
24,genome,science,true,0.36,0.02,0.0,0.46,0.36,0.23,7,11,false
25,spaghetti,food,false,0.17,0.27,0.3,0.18,0.13,0.45,5,12,false
26,self-esteem,joke,false,0.53,0.5,0.14,0.63,0.02,0.78,8,14,false
27,virus,science,true,0.02,0.88,0.39,0.28,0.6,0.2,3,10,false
28,cake,food,true,0.98,0.44,0.36,0.03,0.52,0.68,3,7,false
29,STD,adult,false,0.94,0.28,0.21,0.31,0.87,0.16,5,10,true
30,sword,equipment,true,0.81,0.47,0.89,0.01,0.5,0.13,8,11,false
31,junk,luxery,false,0.3,0.74,0.59,0.18,0.52,0.28,4,11,false
32,radio,luxery,false,0.84,0.86,0.28,0.28,0.27,0.63,8,13,false
33,mints,food,false,0.56,0.43,0.69,0.94,0.96,0.16,4,12,false
34,underpants,clothes,false,0.49,0.78,0.88,0.57,0.66,0.52,10,18,false
35,booty,necessity,false,0.21,0.04,0.64,0.14,0.46,0.23,8,16,false
36,operating system,tool,false,0.94,0.15,0.8,0.39,0.02,0.97,10,16,false
37,gumbo,food,false,0.96,0.01,0.59,0.59,0.06,0.36,10,17,false
38,ashes,junk,false,0.46,0.91,0.17,0.81,0.36,0.01,3,10,false
39,apocalypse,joke,true,0.33,0.88,0.08,0.25,0.96,0.93,3,9,false
40,slinky,entertainment,false,0.62,0.27,0.32,0.09,1.0,0.18,7,14,false
41,sport,entertainment,true,0.71,0.51,0.04,0.64,0.51,0.87,8,11,false
42,sadness,adult,false,0.43,0.4,0.48,0.79,0.09,0.14,9,17,false
43,computer,necessity,true,0.62,0.16,0.35,0.25,0.79,0.48,5,8,false
44,record,adult,false,0.59,0.13,0.19,0.48,0.07,0.0,9,16,false
45,plan,adult,true,0.09,0.23,0.88,0.33,0.38,0.88,7,11,false
46,reference,educational,false,0.5,0.91,0.92,0.79,0.76,0.01,6,11,false
47,agenda,adult,false,0.85,0.34,0.72,0.77,0.08,0.34,5,11,false
48,interpreter,person/tool,false,0.35,0.01,0.04,0.51,0.64,0.87,8,13,false
49,ensemble,junk/people,true,0.48,0.01,0.07,0.35,0.32,0.36,10,16,false
50,rice,food,false,0.77,0.3,0.25,0.74,0.16,0.4,6,9,false
51,speakers,luxery,false,0.55,0.75,0.79,0.92,0.74,0.43,9,13,false
52,trainwreck,joke,true,0.61,0.68,0.48,0.08,0.53,0.98,4,7,false
53,thermos,container,false,0.43,0.15,0.2,0.91,0.7,0.83,7,12,false
54,cat,animal,false,0.06,0.97,0.02,0.32,0.75,0.84,3,7,false
55,magazine,entertainment,false,0.2,0.7,0.66,0.13,0.87,0.59,3,6,false
56,shades,luxery,false,0.18,0.49,0.42,0.45,0.71,0.02,5,13,false
57,dollas,necessity,false,0.21,0.75,0.26,0.14,0.85,0.66,10,17,false
58,axe,tool,false,0.64,0.8,0.79,0.06,0.29,0.32,10,14,false
59,sock,clothes,false,0.84,0.82,0.96,0.78,0.29,0.45,4,10,false
60,drugs,adult,true,0.06,0.62,0.17,0.53,0.6,0.4,3,7,false
61,giraffe,animal,false,0.13,0.31,0.42,0.54,0.15,0.73,9,16,false
62,granola,food,false,0.44,0.02,0.18,0.91,0.75,0.18,9,16,false
63,eyedrops,medicine,false,0.65,0.1,0.16,0.32,0.1,0.93,4,9,false
64,stew,food,true,0.34,0.67,0.29,0.99,0.7,0.78,10,16,false
65,zipper,clothes,false,0.26,0.22,0.14,0.34,0.29,0.55,10,13,false
66,hats,clothes,true,0.69,0.1,0.47,0.57,0.15,0.39,6,12,false
67,wood,material,false,0.32,0.13,0.8,0.18,0.16,0.9,3,6,false
68,8-track,adult,false,0.01,0.44,0.41,0.79,0.11,0.37,3,11,false
69,politics,adult,true,0.07,0.58,0.19,0.87,0.75,0.04,3,8,false
70,tuba,instrument,false,0.87,0.4,0.96,0.77,0.85,0.19,8,13,false
71,pancakes,food,false,0.32,0.57,0.32,0.43,0.75,0.84,3,10,false
72,gears,science,false,0.08,0.03,0.76,0.71,0.8,0.24,5,12,false
73,comic,entertainment,false,0.82,0.99,0.89,0.39,0.55,0.94,10,17,false
74,cocktail,food,true,0.85,0.43,0.4,0.8,0.66,0.03,10,17,false
75,rock,material,false,0.59,0.57,0.15,0.33,0.13,0.72,8,14,false
